	0.0 s	900995.0 s	1801990.0 s	2702985.0 s	3603980.0 s	4504975.0 s	5405970.0 s	6306965.0 s	7207960.0 s	8108955.0 s	9009950.0 s	9910945.0 s	10811940.0 s	11712935.0 s	12613930.0 s	13514925.0 s	14415920.0 s	15316915.0 s	16217910.0 s	17118905.0 s
0	7062932963.496178	7051360414.220174	7039806826.457342	7028272169.139421	7016756411.249056	7005259521.819711	6993781469.935591	6982322224.731556	6970881755.393037	6959460031.155955	6948057021.306638	6936672695.181737	6925307022.168145	6913959971.702916	6902631513.273179	6891321616.416059	6880030250.718592	6868757385.817649	6857502991.399849	6846267037.201479
1	4354465263.006303	4347330486.596645	4340207400.493637	4333095985.542751	4325996222.620846	4318908092.636111	4311831576.528019	4304766655.267273	4297713309.855755	4290671521.326476	4283641270.743525	4276622539.202016	4269615307.828039	4262619557.7786098	4255635270.241617	4248662426.4357743	4241701007.6105666	4234750995.0462027	4227812370.053563	4220885113.974151
2	2684630846.0232363	2680232067.376361	2675840496.146287	2671456120.523633	2667078928.7183666	2662708908.959774	2658346049.4964275	2653990338.5961537	2649641764.5460033	2645300315.652218	2640965980.2402	2636638746.6544805	2632318603.2586875	2628005538.435517	2623699540.586698	2619400598.1329646	2615108699.5140233	2610823833.1885214	2606545987.634018	2602275151.346951
3	1655138422.2767673	1652426455.4850044	1649718932.2876315	1647015845.4037592	1644317187.5644276	1641622951.5125873	1638933130.0030794	1636247715.8026164	1633566701.6897628	1630890080.4549155	1628217844.9002843	1625549987.8398726	1622886502.0994585	1620227380.5165746	1617572615.94049	1614922201.2321897	1612276129.2643564	1609634392.9213512	1606996985.0991938	1604363898.7055445
4	1020431987.5772928	1018759983.7009311	1017090719.4455862	1015424190.3223193	1013760391.8495467	1012099319.5530279	1010440968.9658537	1008785335.628434	1007132415.0884857	1005482202.9010211	1003834694.6283356	1002189885.8399959	1000547772.1128279	998908349.0309054	997271612.1855375	995637557.175257	994006179.6058089	992377475.090138	990751439.2483776	989128067.7078376
5	629120455.430797	628089616.0141684	627060465.6697478	626033001.6299222	625007221.1316129	623983121.416269	622960699.7298594	621939953.3228657	620920879.4502748	619903475.3715712	618887738.35073	617873665.6562092	616861254.5609428	615850502.3423328	614841406.282243	613833963.6669903	612828171.7873381	611824027.9384896	610821529.4200792	609820673.5361665
6	387867639.102051	387232094.855765	386597591.9865688	385964128.7881042	385331703.55680877	384700314.5919116	384069960.19542855	383440638.67215776	382812348.3296751	382185087.47832936	381558854.4312382	380933647.50428313	380309465.01610535	379686305.288101	379064166.64441663	378443047.41194487	377822945.92031986	377203860.5019126	376585789.4918267	375968731.2278939
7	239129571.16347224	238737737.38260734	238346545.6540891	237955994.92586124	237566084.1475914	237176812.27066824	236788178.24819863	236400181.03500488	236012819.58762193	235626092.8642945	235239999.82497433	234854539.43131736	234469710.64668092	234085512.43612105	233701943.76638952	233319003.6059312	232936690.9248813	232555004.6950625	232173943.88998225	231793507.48482996
8	147429034.24522164	147187455.0069497	146946271.6236932	146705483.4467988	146465089.82867607	146225090.1227957	145985483.68368784	145746269.8669403	145507448.02919677	145269017.52815524	145030977.7225661	144793327.9722306	144556067.63799897	144319196.08176875	144082712.66648307	143846616.75612903	143610907.71573582	143375584.91137314	143140647.71014947	142906095.4802103
9	90893484.48909836	90744541.72164829	90595843.0194867	90447387.98267567	90299176.21193272	90151207.30862957	90003480.8747912	89855996.51309472	89708753.82686831	89561752.42009017	89414991.89738742	89268471.86403507	89122191.92595497	88976151.68971469	88830350.7625265	88684788.75224634	88539465.2673727	88394379.91704564	88249532.3110457	88104922.05979285
10	56037981.140702985	55946151.71877741	55854472.7776591	55762944.07075533	55671565.351877466	55580336.37524029	55489256.895461366	55398326.66756036	55307545.446958385	55216912.989477344	55126429.05133928	55036093.38916573	54945905.75997701	54855865.921191655	54765973.63062568	54676228.646492	54586630.72739972	54497179.63235352	54407875.120753005	54318716.95239204
11	34548739.20522946	34492122.110036634	34435597.79664363	34379166.11300346	34322826.9073183	34266580.02803909	34210425.323865116	34154362.64374361	34098391.83686936	34042512.75268425	33986725.24087693	33931029.15138234	33875424.33438139	33819910.640300445	33764487.91981103	33709156.02382938	33653914.80351601	33598764.11027537	33543703.795755446	33488733.711847287
12	21300113.558102027	21265206.160066705	21230355.96950456	21195562.892662033	21160826.835939202	21126147.705889545	21091525.409219686	21056959.852789134	21022450.943610046	20987998.58884697	20953602.695816595	20919263.1719875	20884979.92497991	20850752.862565443	20816581.89266687	20782466.923357848	20748407.862862702	20714404.61955615	20680457.10196308	20646565.218758278
13	13132022.731217515	13110500.236147488	13089013.01495286	13067561.00982226	13046144.16303906	13024762.416981222	13003415.714121154	12982103.99702554	12960827.208355201	12939585.290864926	12918378.187403327	12897205.840912683	12876068.194428788	12854965.191080794	12833896.774091061	12812862.886775004	12791863.47254094	12770898.474889932	12749967.837415649	12729071.503804196
14	8096201.751521549	8082931.646342357	8069683.29153684	8056456.651455089	8043251.690505632	8030068.373155328	8016906.66392928	8003766.527410733	7990647.928240982	7977550.831119278	7964475.200802733	7951421.0021062195	7938388.199902283	7925376.759121044	7912386.644750102	7899417.821834449	7886470.255476362	7873543.910835324	7860638.753127919	7847754.7476277435
15	4991499.1829542555	4983317.089376282	4975148.407898558	4966993.1165360045	4958851.193339578	4950722.616396214	4942607.363828768	4934505.4137959555	4926416.744492296	4918341.334148052	4910279.16102917	4902230.203437223	4894194.439709351	4886171.848218206	4878162.40737189	4870166.095613897	4862182.891423059	4854212.773313482	4846255.719834496	4838311.7095705895
16	3077376.758558753	3072331.7138980506	3067294.9400394815	3062266.423424018	3057246.150514861	3052234.107797404	3047230.281779194	3042234.658989899	3037247.2259812695	3032267.969327103	3027296.875623207	3022333.9314873647	3017379.123559296	3012432.438500625	3007493.8629948418	3002563.3837472675	2997640.9874850176	2992726.6609569676	2987820.3909337167	2982922.1642075516
17	1897275.12564499	1894164.277483402	1891058.5299605904	1887957.8747134483	1884862.303392582	1881771.8076622866	1878686.3792005249	1875606.0096989046	1872530.6908626554	1869460.4144106081	1866395.1720751708	1863334.955602307	1860279.7567515145	1857229.5672958014	1854184.379021665	1851144.1837290702	1848108.973231426	1845078.7393555646	1842053.4739417187	1839033.1688435003
18	1169714.6490103994	1167796.3810284738	1165881.2588694154	1163969.2773743486	1162060.431392859	1160154.7157829776	1158252.1254111682	1156352.6551523127	1154456.2998896977	1152563.0545150007	1150672.9139282764	1148785.8730379432	1146901.9267607685	1145021.0700218563	1143143.2977546325	1141268.6049008318	1139396.9864104842	1137528.4372419005	1135662.9523616598	1133800.5267445955
